"Accession" "Latitude" "Longitude"
"1" "PMS-458" 36.1734 120.4978
"2" "KMS-widespread" 33.431666 126.417222
"3" "UI10-00117" NA NA
"4" "UI11-00005" NA NA
"5" "UI11-00027" NA NA
"6" "IGR-2011-005" NA NA
"7" "PMS-457" 36.2119 117.1133
"8" "JY186" 37.41025 121.7611833
"9" "JY192" 39.57113333 122.6361667
"10" "JY182" 37.31478333 122.0290167
"11" "JY009" 30.94995 120.3748
"12" "KMS408" 35.737688 127.37861
"13" "JY008" 30.95048333 120.3766
"14" "JY127" 35.07541667 119.22405
"15" "KMS417" 37.184813 127.079002
"16" "JY006" 29.79375 120.0948833
"17" "JY129" 35.17298333 119.0374833
"18" "JM2014-S-3" 33.94582778 133.3873556
"19" "JM2014-M-3" 36.08693333 140.2217722
"20" "JY183" 37.34746667 121.9525333
"21" "JM2014-M-4" 36.35185278 140.2773278
"22" "JY178" 36.96631667 121.7963667
"23" "JM2014-H-68" 42.10487778 140.5526111
"24" "JM2014-H-11" 43.47065833 142.2687222
"25" "JM2014-H-41" 42.97450556 144.5296778
"26" "JPN-2010-009" 39.80382 140.5838
"27" "JY172" 36.81171667 121.3698833
"28" "JMShiraN24" 32.826014 131.096315
"29" "JY193" 39.61428333 122.7518167
"30" "JY143" 35.79778333 119.8841833
"31" "JPN-2010-014" 38.72429 139.85879
"32" "KMS419" 36.997221 127.151946
"33" "JY176" 36.88928333 121.7584333
"34" "JM2014-H-67" 42.17906667 140.4429639
"35" "JM2014-H-72" 42.40629444 139.8835444
"36" "JM2014-M-14" 38.13942778 140.8850056
"37" "JPN-2010-004" 39.98123 139.87594
"38" "JM2014-K-8" 31.85983333 131.4170278
"39" "JY141" 35.63046667 119.6786
"40" "JPN-2011-012" 35.63627 136.94965
"41" "JPN-2011-004" 36.16943 137.30951
"42" "JM11-037" 34.93411667 133.3315417
"43" "JY185" 37.4277 121.8343
"44" "JM2014-H-24" 43.91305278 144.1559139
"45" "JPN-2011-019" 35.54128 136.67738
"46" "JY168" 36.77571667 121.343
"47" "JY166" 36.74536667 121.3387667
"48" "KMS423" 34.932241 126.414512
"49" "UI11-00007" NA NA
"50" "UI11-00032" NA NA
"51" "JPN-2011-001" 31.82996 131.409756
"52" "JM1N24" 35.07333 135.193889
"53" "JM2014-H-23" 43.86160556 144.0776361
"54" "JPN-2011-023" 31.53256 131.23915
"55" "JMMiyakonojoFSC" 31.750972 131.068425
"56" "JPN-2010-001" 38.74876 141.02467
"57" "UI11-00039" NA NA
"58" "JY165" 36.74565 121.3390333
"59" "JM2014-H-52" 43.03904722 143.2104639
"60" "JY179" 37.02521667 121.8878
"61" "JM2014-H-28" 43.57341667 145.0143889
"62" "KMS351" 36.7325 127.4825
"63" "KMS268" 36.574722 129.398611
"64" "JM2014-H-30" 43.313775 145.1465139
"65" "JPN-2010-008" 39.95976 140.42584
"66" "KMS263" 37.252777 128.7795
"67" "KMS262" 36.399166 128.423055
"68" "JPN-2011-020" 35.63627 136.94965
"69" "JM2014-H-58" 43.18394167 141.7198778
"70" "JY162" 36.7262 121.23895
"71" "JM2014-S-6" 33.96394444 134.6246583
"72" "JY171" 36.77573333 121.3431667
"73" "KMS446" 36.183436 128.21911
"74" "JM2014-H-48" 43.431625 144.1282056
"75" "JPN-2011-003" 36.27956 136.90286
"76" "KMS422" 34.875629 126.422913
"77" "JY126" 34.91258333 119.1514667
"78" "KMS451" 35.937627 128.841753
"79" "KMS329" 35.101111 126.492222
"80" "KMS468" 37.772069 127.459328
"81" "KMS400" 36.982439 127.898191
"82" "JM11-013" 34.67849722 131.8266444
"83" "JY134" 35.46726667 119.3389667
"84" "JPN-2011-013" 35.44099 136.80366
"85" "JM11-027" NA NA
"86" "JM2014-K-7" 31.85794444 131.4166944
"87" "KMS405" 35.767547 127.213796
"88" "JM2014-H-69" 42.25641944 140.2425389
"89" "JPN-2010-002" 38.37625 140.31956
"90" "JM2014-H-13" 42.99924167 143.4386444
"91" "JM11-019" 35.06958056 132.3366694
"92" "JPN-2010-012" 39.36882 140.06649
"93" "RU2012-055" 48.81984 135.94496
"94" "JM2014-H-42" 42.996025 144.4062361
"95" "JPN-2010-010" 39.65394 140.15014
"96" "JPN-2011-011" 31.53256 131.23915
"97" "JM2014-H-77" 42.57424167 141.4073778
"98" "JPN-2011-025" 32.00572 130.5628
"99" "JPN-2010-005" 42.61475 141.81671
"100" "JMKikuchi1N24" 32.972627 130.812577
"101" "JM2014-M-5" 36.74980833 139.8845833
"102" "JM2014-H-27" 43.93447222 144.4429167
"103" "JM2014-H-25" 44.00359444 144.2281333
"104" "KMS448" 35.883991 128.784945
"105" "JM2014-S-2" 33.11606944 132.54785
"106" "KMS399" 36.968772 127.913185
"107" "KMS257" 35.394722 129.159444
"108" "JM2014-S-5" 34.11046667 134.3468528
"109" "JPN-2011-002" 35.37239 136.77384
"110" "JM2014-H-22" 43.88605 143.9727944
"111" "RU2012-023" 48.52222 134.95338
"112" "JPN-2011-022" 31.53256 131.23915
"113" "UI11-00037" NA NA
"114" "KMS324" 34.726666 126.554166
"115" "JM2014-H-19" 44.099575 143.5310361
"116" "JM2014-M-7" 37.12901944 140.1718139
"117" "JPN-2010-015" 38.37632 140.31934
"118" "JM2014-H-3" 44.72609444 142.2195139
"119" "JM2014-M-2" 35.94547778 140.1371778
"120" "JM2014-H-44" 43.22139444 144.5309139
"121" "JY173" 36.8359 121.4089
"122" "JY140" 35.63046667 119.6784667
"123" "JM2014-H-16" NA NA
"124" "JPN-2011-014" 35.87246 136.86403
"125" "JM11-040" 34.82965556 132.9431278
"126" "JM2014-H-29" 43.47641389 145.0475917
"127" "JM2014-H-71" 41.91688889 140.1460722
"128" "KMS467" 37.753106 127.434343
