"Accession","Ploidy","Country","Latitude","Longitude"
"PMS-074",2,"China",40.13448333,116.1747833
"PMS-512",2,"China",41.328,123.6909
"PMS-458",4,"China",36.1734,120.4978
"PMS-075",2,"China",40.1346,116.1751
"PMS-076-7",2,"China",40.1642,116.05
"KMS-widespread",4,"South Korea",33.431666,126.417222
"PMS-071",2,"China",40.39063333,117.0071333
"PMS-457",4,"China",36.2119,117.1133
"PMS-070",2,"China",30.9216,104.4887
"JY213",2,"China",42.50325,124.0371833
"JY053",2,"China",30.80115,117.7565667
"JY223",2,"China",43.94345,126.8466
"JY203",2,"China",40.58663333,123.9806
"KMS384",2,"South Korea",37.604194,127.345916
"JY181",2,"China",37.31455,122.0306667
"JY186",4,"China",37.41025,121.7611833
"JY002",2,"China",29.47473,120.05819
"JY244",2,"China",44.3427,129.4492167
"JY258",2,"China",43.48193333,126.16895
"JY259",2,"China",43.34988333,126.0836833
"JY192",4,"China",39.57113333,122.6361667
"JY247",2,"China",44.26986667,129.4126
"JY106",2,"China",29.86501667,113.9136667
"JY128",2,"China",35.0917,119.2494833
"JY182",4,"China",37.31478333,122.0290167
"JY234",2,"China",43.6542,127.7028833
"JY156",2,"China",36.43138333,120.7256833
"JY217",2,"China",42.7217,124.5075333
"JY208",2,"China",42.0538,123.6235167
"JY202",2,"China",40.49945,123.9838667
"JY278",2,"China",39.62296667,121.8108833
"JY009",4,"China",30.94995,120.3748
"JY254",2,"China",43.63296667,128.5302333
"JY238",2,"China",43.5961,128.4796333
"KMS408",4,"South Korea",35.737688,127.37861
"JY285",2,"China",37.3512,118.3374833
"JY107",2,"China",29.85698333,113.9064333
"JM2014-S-4",3,"Japan",34.30136667,134.1303556
"JY210",2,"China",42.33061667,123.88465
"KMS386",2,"South Korea",37.688769,127.380399
"JY123",2,"China",30.75801667,120.3254833
"JY094",2,"China",30.43698333,114.3207167
"JY093",2,"China",30.52125,114.4693
"JY008",4,"China",30.95048333,120.3766
"KMS389",2,"South Korea",37.206134,128.41559
"JY127",4,"China",35.07541667,119.22405
"JY216",2,"China",42.71753333,124.3889167
"JY257",2,"China",43.6718,126.39235
"JY287",2,"China",36.63658333,117.1917167
"JY284",2,"China",37.76968333,118.6677
"JY007",2,"China",30.95053333,120.37655
"JY105",2,"China",29.8652,113.9138833
"JY088",2,"China",29.8422,115.68365
"JY289",2,"China",33.7526,118.2215667
"JY014",3,"China",30.91838333,120.1318333
"JY211",2,"China",42.38353333,123.9481333
"JY104",2,"China",29.90453333,113.9427
"KMS417",4,"South Korea",37.184813,127.079002
"JY006",4,"China",29.79375,120.0948833
"JY091",2,"China",30.3865,114.9872333
"JY129",4,"China",35.17298333,119.0374833
"JY207",2,"China",41.97168333,123.59995
"JY092",2,"China",30.52863333,114.6161333
"JY276",2,"China",39.98673333,121.9595667
"JY204",2,"China",40.37234,123.59073
"JY209",2,"China",42.14771667,123.6822
"JM2014-S-3",4,"Japan",33.94582778,133.3873556
"JY255",2,"China",43.83075,126.6756333
"JY111",2,"China",29.76085,113.92445
"JY142",2,"China",35.65028333,119.7161167
"JY286",2,"China",37.17368333,118.20915
"JY200",2,"China",40.16975,124.34665
"JY273",2,"China",40.38178333,122.21315
"JY100",2,"China",30.14975,114.1101833
"JY228",2,"China",43.97133333,127.0741667
"JY218",2,"China",43.02585,124.7607167
"JM2014-M-3",4,"Japan",36.08693333,140.2217722
"JY189",2,"China",39.53803333,122.4873333
"JY288",2,"China",36.56253333,116.9288667
"JY230",2,"China",43.8993,127.2934667
"JY096",2,"China",30.33968333,114.23885
"JY183",4,"China",37.34746667,121.9525333
"JM2014-M-4",4,"Japan",36.35185278,140.2773278
"JY178",4,"China",36.96631667,121.7963667
"JM2014-H-68",4,"Japan",42.10487778,140.5526111
"JM2014-H-11",4,"Japan",43.47065833,142.2687222
"JM2014-H-41",4,"Japan",42.97450556,144.5296778
"JPN-2010-009",4,"Japan",39.80382,140.5838
"JY172",4,"China",36.81171667,121.3698833
"JY193",4,"China",39.61428333,122.7518167
"JY143",4,"China",35.79778333,119.8841833
"JPN-2010-014",4,"Japan",38.72429,139.85879
"KMS419",4,"South Korea",36.997221,127.151946
"JY176",4,"China",36.88928333,121.7584333
"JM2014-H-67",4,"Japan",42.17906667,140.4429639
"JM2014-H-72",4,"Japan",42.40629444,139.8835444
"JM2014-M-14",4,"Japan",38.13942778,140.8850056
"JPN-2010-004",4,"Japan",39.98123,139.87594
"JM2014-K-8",4,"Japan",31.85983333,131.4170278
"JY141",4,"China",35.63046667,119.6786
"JPN-2011-012",4,"Japan",35.63627,136.94965
"JPN-2011-004",4,"Japan",36.16943,137.30951
"JM11-037",4,"Japan",34.93411667,133.3315417
"JY185",4,"China",37.4277,121.8343
"JM2014-H-24",4,"Japan",43.91305278,144.1559139
"JPN-2011-019",4,"Japan",35.54128,136.67738
"JY168",4,"China",36.77571667,121.343
"JY166",4,"China",36.74536667,121.3387667
"KMS423",4,"South Korea",34.932241,126.414512
"JPN-2011-001",4,"Japan",31.82996,131.409756
"JM2014-H-23",4,"Japan",43.86160556,144.0776361
"JPN-2011-023",4,"Japan",31.53256,131.23915
"JPN-2010-001",4,"Japan",38.74876,141.02467
"JY165",4,"China",36.74565,121.3390333
"JM2014-H-52",4,"Japan",43.03904722,143.2104639
"JY179",4,"China",37.02521667,121.8878
"JM2014-H-28",4,"Japan",43.57341667,145.0143889
"KMS351",4,"South Korea",36.7325,127.4825
"KMS268",4,"South Korea",36.574722,129.398611
"JM2014-H-30",4,"Japan",43.313775,145.1465139
"JPN-2010-008",4,"Japan",39.95976,140.42584
"KMS263",4,"South Korea",37.252777,128.7795
"KMS262",4,"South Korea",36.399166,128.423055
"JPN-2011-020",4,"Japan",35.63627,136.94965
"JM2014-H-58",4,"Japan",43.18394167,141.7198778
"JY162",4,"China",36.7262,121.23895
"JM2014-S-6",4,"Japan",33.96394444,134.6246583
"JY171",4,"China",36.77573333,121.3431667
"KMS446",4,"South Korea",36.183436,128.21911
"JM2014-H-48",4,"Japan",43.431625,144.1282056
"JPN-2011-003",4,"Japan",36.27956,136.90286
"KMS422",4,"South Korea",34.875629,126.422913
"JY126",4,"China",34.91258333,119.1514667
"KMS451",4,"South Korea",35.937627,128.841753
"KMS329",4,"South Korea",35.101111,126.492222
"KMS468",4,"South Korea",37.772069,127.459328
"KMS400",4,"South Korea",36.982439,127.898191
"JM11-013",4,"Japan",34.67849722,131.8266444
"JY134",4,"China",35.46726667,119.3389667
"JPN-2011-013",4,"Japan",35.44099,136.80366
"JM2014-K-7",4,"Japan",31.85794444,131.4166944
"KMS405",4,"South Korea",35.767547,127.213796
"JM2014-H-69",4,"Japan",42.25641944,140.2425389
"JPN-2010-002",4,"Japan",38.37625,140.31956
"JM2014-H-13",4,"Japan",42.99924167,143.4386444
"JM11-019",4,"Japan",35.06958056,132.3366694
